Departure_AirportCode,Departure_ScheduledTimeLocal_DateTime,Departure_ScheduledTimeUTC_DateTime,Departure_ActualTimeLocal_DateTime,Departure_ActualTimeUTC_DateTime,Departure_TimeStatus_Code,Departure_TimeStatus_Definition,Departure_Terminal_Name,Departure_Terminal_Gate,Arrival_AirportCode,Arrival_ScheduledTimeLocal_DateTime,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeLocal_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code,Arrival_TimeStatus_Definition,Arrival_Terminal_Name,MarketingCarrier_AirlineID,MarketingCarrier_FlightNumber,OperatingCarrier_AirlineID,OperatingCarrier_FlightNumber,Equipment_AircraftCode,Equipment_AircraftRegistration,FlightStatus_Code,FlightStatus_Definition,ServiceType,Arrival_Terminal_Gate,Arrival_EstimatedTimeLocal_DateTime,Arrival_EstimatedTimeUTC_DateTime,Departure_EstimatedTimeLocal_DateTime,Departure_EstimatedTimeUTC_DateTime
FRA,2024-09-23T22:05,2024-09-23T20:05Z,2024-09-24T09:35,2024-09-24T07:35Z,NO,No status,,B23,LIS,2024-09-24T12:25,2024-09-24T11:25Z,2024-09-24T12:48,2024-09-24T11:48Z,NO,No status,,LH,506,LH,506,74H,DABYC,DV,Flight Diverted,Passenger,,,,,
FRA,2024-09-23T22:15,2024-09-23T20:15Z,2024-09-24T10:27,2024-09-24T08:27Z,DL,Flight Delayed,1,B58,CPT,2024-09-24T10:00,2024-09-24T08:00Z,2024-09-24T21:52,2024-09-24T19:52Z,DL,Flight Delayed,,LH,576,LH,576,343,DAIFC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:30,2024-09-24T05:30Z,2024-09-24T08:26,2024-09-24T06:26Z,DL,Flight Delayed,1,A32,FCO,2024-09-24T09:20,2024-09-24T07:20Z,2024-09-24T10:00,2024-09-24T08:00Z,DL,Flight Delayed,1,LH,230,LH,230,32N,DAIJB,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T08:10,2024-09-24T06:10Z,DL,Flight Delayed,1,A26,NCE,2024-09-24T09:20,2024-09-24T07:20Z,2024-09-24T09:42,2024-09-24T07:42Z,DL,Flight Delayed,1,LH,1058,LH,1058,320,DAIZJ,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:14,2024-09-24T06:14Z,OT,Flight On Time,1,A17,HAM,2024-09-24T09:05,2024-09-24T07:05Z,2024-09-24T09:09,2024-09-24T07:09Z,OT,Flight On Time,2,LH,006,LH,006,319,DAILD,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:05,2024-09-24T06:05Z,OT,Flight On Time,1,B25,LHR,2024-09-24T08:40,2024-09-24T07:40Z,2024-09-24T08:39,2024-09-24T07:39Z,FE,Flight Early,2,LH,900,LH,900,32N,DAINC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:21,2024-09-24T06:21Z,DL,Flight Delayed,1,B22,AYT,2024-09-24T12:30,2024-09-24T09:30Z,2024-09-24T12:40,2024-09-24T09:40Z,DL,Flight Delayed,,XQ,141,XQ,141,7M8,TCSMI,LD,Flight Landed,Passenger,,2024-09-24T13:01,2024-09-24T10:01Z,,
FRA,2024-09-24T08:05,2024-09-24T06:05Z,2024-09-24T08:10,2024-09-24T06:10Z,OT,Flight On Time,1,B02,FLR,2024-09-24T09:40,2024-09-24T07:40Z,2024-09-24T09:40,2024-09-24T07:40Z,OT,Flight On Time,,EN,8852,EN,8852,E90,IJEND,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:05,2024-09-24T06:05Z,2024-09-24T08:19,2024-09-24T06:19Z,OT,Flight On Time,1,A30,SOF,2024-09-24T11:20,2024-09-24T08:20Z,2024-09-24T11:29,2024-09-24T08:29Z,OT,Flight On Time,2,LH,1456,LH,1456,32N,DAINA,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:15,2024-09-24T06:15Z,2024-09-24T08:19,2024-09-24T06:19Z,OT,Flight On Time,1,B33,LCY,2024-09-24T08:40,2024-09-24T07:40Z,2024-09-24T08:33,2024-09-24T07:33Z,FE,Flight Early,,EN,8772,EN,8772,E90,IJENK,LD,Flight Landed,Passenger,,,,,
